model,tag,config_id,fold,n_train,n_test,n_estimators,max_depth,min_samples_leaf,mae,rmse,row_type,is_best,mae_mean,mae_std,rmse_mean,rmse_std
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,0.0,128756.0,32189.0,300,40,5,0.4877507629999736,0.7399339785628174,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,1.0,128756.0,32189.0,300,40,5,0.48937102874630295,0.7372764556695965,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,2.0,128756.0,32189.0,300,40,5,0.4865664376146975,0.7347752632653534,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,3.0,128756.0,32189.0,300,40,5,0.48545232038600833,0.7347126184699302,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf5,4.0,128756.0,32189.0,300,40,5,0.48553413284610014,0.7368236788022282,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,0.0,128756.0,32189.0,300,40,10,0.5077722438069182,0.7559278513256642,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,1.0,128756.0,32189.0,300,40,10,0.5099785478475647,0.753429344469596,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,2.0,128756.0,32189.0,300,40,10,0.5075597498064354,0.7523633755224671,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,3.0,128756.0,32189.0,300,40,10,0.5051648542461179,0.7501613352287038,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf10,4.0,128756.0,32189.0,300,40,10,0.5054008735536465,0.7526292537586496,fold,False,,,,
random_forest_regressor,processed_2026-03-13_cv5,rf_n300_d40_leaf1,,,,300,40,1,,,summary,True,0.46481428629733923,0.0019470677249026056,0.7300789456840067,0.004388440830657091
